Month	France	Germany
01/2020	37.97	34.98
02/2020	26.25	21.91
03/2020	23.83	22.52
04/2020	13.41	17.05
05/2020	14.87	17.60
06/2020	25.85	26.23
07/2020	33.42	30.07
08/2020	36.76	34.89
09/2020	47.19	43.68
10/2020	37.87	33.96
11/2020	40.14	38.80
12/2020	48.42	43.55
01/2021	59.47	52.79
02/2021	49.01	48.71
03/2021	50.23	47.18
04/2021	63.15	53.66
05/2021	55.26	53.33
06/2021	73.56	74.13
07/2021	78.31	81.29
08/2021	77.40	82.81
09/2021	135.30	128.34
10/2021	172.54	139.54
11/2021	217.24	176.25
12/2021	274.21	220.96
01/2022	211.58	167.87
02/2022	185.63	128.78
